requirement_id,requirement,type,priority,source,design_element,implementation_artifact,verification_method,test_id,evidence_result,status,report_section
FR01,"Người dùng đăng nhập bằng email và mật khẩu.",functional,HIGH,SRC-001,"users; auth boundary; /auth/login","backend/app/api/v1/auth.py; backend/app/core/security.py; backend/app/models/user.py; frontend/src/pages/Login.tsx; frontend/src/context/AuthContext.tsx","Automated pytest suite: Positive/negative authentication tests, password hash verification, JWT issuance and expiry checks","test_tc_pos_01_login_valid; test_tc_neg_01_login_invalid_password; test_bug_be_05_unauthenticated_requests_return_401; test_jwt_invalid_subject_returns_401","100% Passed. Đăng nhập hợp lệ cấp JWT token; mật khẩu sai trả HTTP 401; hash bcrypt an toàn không lộ plain text; chặn token hết hạn.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
FR02,"Backend kiểm tra vai trò Manager/Marketer ở thao tác nhạy cảm.",functional,HIGH,SRC-001,"RBAC; RoleChecker; user status validation; approve boundary","backend/app/core/security.py; backend/app/api/deps.py; backend/app/api/v1/contents.py; backend/app/api/v1/campaigns.py; frontend/src/context/AuthContext.tsx","RBAC unit and integration testing: RoleChecker verification, inactive user rejection, endpoint level role enforcement","test_rbac_manager_can_approve_reject_and_delete; test_rbac_marketer_forbidden_from_approving; test_rbac_marketer_forbidden_from_rejecting; test_deactivated_user_receives_403_forbidden","100% Passed. Manager có toàn quyền duyệt/từ chối/xóa; Marketer bị từ chối 403 khi gọi /approve, /reject hoặc xóa chiến dịch; tài khoản INACTIVE bị chặn 403.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
FR03,"Quản lý dữ liệu nền gồm nhóm sản phẩm sản phẩm và kênh.",functional,MEDIUM,SRC-001,"product_categories; products; marketing_channels","backend/app/api/v1/products.py; backend/app/api/v1/channels.py; backend/app/models/product.py; backend/app/models/channel.py; backend/app/schemas/product.py; frontend/src/pages/AIStudio.tsx","CRUD operations, foreign key integrity constraints, duplicate name rejections","test_tc_pos_08_get_channels_and_products; test_direct_db_insert_invalid_channel_id_triggers_fk_violation; test_api_content_create_nonexistent_foreign_keys_handled_cleanly","100% Passed. Truy vấn danh mục sản phẩm và kênh trả về 200 OK với dữ liệu hạt nhân đầy đủ; ràng buộc khóa ngoại bảo vệ chống mồ côi.",IMPLEMENTED,"Chương 3; Chương 4; Chương 5"
FR04,"Tạo và quản lý campaign với mục tiêu sản phẩm thời gian ngân sách và người phụ trách.",functional,HIGH,SRC-001,"campaigns schema; campaign validation rules; /campaigns API","backend/app/api/v1/campaigns.py; backend/app/models/campaign.py; backend/app/schemas/campaign.py; frontend/src/pages/Campaigns.tsx; frontend/src/components/CampaignTable.tsx","CRUD API tests, date boundary checks, negative budget validation, record-level ownership checks","test_tc_pos_02_create_campaign_valid; test_tc_neg_02_create_campaign_invalid_dates; test_campaign_logical_date_boundary_same_day_succeeds; test_date_boundary_start_greater_than_end_by_one_day_rejected","100% Passed. Tạo và cập nhật campaign thành công; kiểm tra start_date <= end_date chặt chẽ; ngân sách âm hoặc ngày sai bị từ chối 422.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
FR05,"Quản lý phân công người dùng trong campaign.",functional,HIGH,SRC-001,"campaign_members; assignment rule; record scope resolution","backend/app/models/campaign.py; backend/app/api/v1/campaigns.py; backend/app/schemas/campaign.py; frontend/src/pages/Campaigns.tsx","Member assignment test, duplicate pair rejection, record-level authorization access test","test_tc_pos_02_create_campaign_valid; test_cascade_delete_campaign_removes_dependent_records_cleanly; test_marketer_record_level_campaign_access","100% Passed. CampaignMember lưu cặp (campaign_id, user_id, role_in_campaign); Marketer chỉ được thao tác trên campaign được phân công.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
FR06,"Tạo bản nháp nội dung gắn với campaign channel và người tạo.",functional,HIGH,SRC-001,"marketing_contents; content state; content API","backend/app/api/v1/contents.py; backend/app/models/content.py; backend/app/schemas/content.py; frontend/src/pages/AIStudio.tsx; frontend/src/pages/ReviewQueue.tsx","Content creation API, initial state enforcement (DRAFT / AI_DRAFT), FK validation, record scope checks","test_hitl_full_lifecycle_draft_to_approved; test_hitl_full_lifecycle_ai_draft_to_approved; test_rbac_marketer_can_create_and_submit_content; test_content_create_with_invalid_status_returns_422","100% Passed. Bản nháp tạo ra ở trạng thái DRAFT hoặc AI_DRAFT; cấm tạo trực tiếp APPROVED/PUBLISHED qua POST/PUT; khóa ngoại chiến dịch/kênh được kiểm tra.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
FR07,"Gửi duyệt chấp thuận hoặc từ chối nội dung.",functional,HIGH,SRC-001,"content state machine; content_reviews; /contents/{id}/submit; /contents/{id}/approve; /contents/{id}/reject","backend/app/api/v1/contents.py; backend/app/models/content.py; frontend/src/pages/ReviewQueue.tsx; frontend/src/components/WorkflowCanvas.tsx","HITL state machine transition tests, permission rejection for Marketer approving, review audit logging","test_tc_pos_04_manager_approve_content; test_rbac_marketer_forbidden_from_approving; test_direct_put_approved_status_strictly_rejected_with_400; test_rejection_workflow_with_reason_and_resubmission","100% Passed. Quy trình HITL khép kín: DRAFT -> IN_REVIEW -> APPROVED/REJECTED; Marketer duyệt bị 403; sửa nội dung APPROVED tự động reset về AI_DRAFT.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
FR08,"Tạo sửa và hủy lịch cho nội dung đã được chấp thuận.",functional,HIGH,SRC-001,"marketing_schedules; approval prerequisite rule; /schedules API","backend/app/api/v1/schedules.py; backend/app/models/schedule.py; backend/app/schemas/schedule.py; frontend/src/pages/ReviewQueue.tsx","Schedule creation state precondition test, timezone validation, cancel schedule flow","test_scheduling_non_approved_content_rejected_across_states; test_schedule_timezone_offsets_supported; test_rbac_unauthenticated_schedule_endpoints_return_401","100% Passed. Chỉ nội dung APPROVED mới được lập lịch; nội dung DRAFT, IN_REVIEW hoặc REJECTED bị từ chối 400; hỗ trợ đầy đủ timezone offsets.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
FR09,"Nhập views clicks conversions cost và revenue theo ngày và kênh.",functional,HIGH,SRC-001,"campaign_metrics; unique grain (campaign_id, channel_id, metric_date); KPI formulas","backend/app/api/v1/metrics.py; backend/app/models/metric.py; backend/app/schemas/metric.py; frontend/src/pages/Dashboard.tsx; frontend/src/components/MetricCard.tsx","Financial math tests, zero-denominator protections (CTR, CPC, CPA, ROI), duplicate grain constraint tests","test_tc_pos_05_calculate_kpi_correct; test_tc_bnd_01_zero_division_protection; test_bug_be_03_duplicate_metric_returns_409_conflict; test_metric_clicks_greater_than_views_rejected","100% Passed. KPI tính toán chuẩn xác (CTR, CPC, CPA, ROI); bảo vệ chia cho 0 an toàn; chống trùng lặp (campaign, channel, date) trả HTTP 409 Conflict.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
FR10,"Tìm kiếm lọc sắp xếp campaign và xem báo cáo theo thời gian và kênh.",functional,MEDIUM,SRC-001,"query parameters; dashboard read model; /metrics/summary; /metrics/dashboard","backend/app/api/v1/campaigns.py; backend/app/api/v1/metrics.py; frontend/src/pages/Dashboard.tsx; frontend/src/components/CampaignTable.tsx","Filtering query tests, aggregation calculations, multi-channel date range slicing","test_tc_pos_07_filter_campaigns_by_channel_and_date; test_sqli_campaign_search_tautology_neutralized; test_metrics_dashboard_scoped_to_user","100% Passed. Lọc đa tiêu chí theo ngày, kênh, từ khóa tìm kiếm nhanh; chống SQL injection 100% qua SQLAlchemy parameterized queries.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6; Chương 7"
